"","GroupID","Golgi_State","IntravasationProb","PER","Average_Speed","Visited_Rzone","Hours_in_Rzone","Metastatic_Celle"
"V262","1","I","0.01","0.604","24.85","1","13",NA
"V263","1","I","0.01","0.604","22.67","1","18",NA
"V264","3","F","0.363","0.63","24.46","1","58",NA
"V265","4","I","0.01","0.756","26.17","1","38",NA
"V266","1","F","0.4884","0.607","22.42","1","44",NA
"V267","1","F","0.4323","0.607","22.82","1","66",NA
"V268","1","F","0.2442","0.607","23.34","1","4",NA
"V269","4","I","0.01","0.756","27.51","1","1",NA
"V270","1","F","0.4026","0.607","21.56","1","35",NA
"V271","4","I","0.01","0.756","23.81","1","49",NA
"V272","2","I","0.01","0.725","25.92",NA,NA,NA
"V273","4","F","0.4125","0.78","27.62",NA,NA,NA
"V274","2","F","0.4521","0.737","25.3","1","34",NA
"V275","4","F","0.3201","0.78","26.27",NA,NA,NA
"V276","1","F","0.33","0.607","23.96","1","1",NA
"V277","1","F","0.2607","0.607","20.71","1","34",NA
"V278","4","I","0.01","0.756","24.37","1","24",NA
"V279","4","F","0.4587","0.78","22.96","1","29","1"
"V280","1","I","0.01","0.604","27.03","1","30",NA
"V281","4","F","0.264","0.78","24.6",NA,NA,NA
"V282","4","I","0.01","0.756","26","1","30",NA
"V283","2","F","0.3498","0.737","25.98","1","14",NA
"V284","2","I","0.01","0.725","24.24","1","18",NA
"V285","1","F","0.2079","0.607","23.45","1","17",NA
"V286","2","F","0.4257","0.737","23.54","1","1",NA
"V287","2","F","0.3795","0.737","23.53","1","22",NA
"V288","2","F","0.2013","0.737","25.91","1","15",NA
"V289","2","I","0.01","0.725","26.12",NA,NA,NA
"V290","4","I","0.01","0.756","24.87","1","47",NA
"V291","2","F","0.2508","0.737","21.69","1","14",NA
"V292","1","I","0.01","0.604","25.12","1","37",NA
"V293","4","I","0.01","0.756","24.58","1","27",NA
"V294","1","I","0.01","0.604","23.49","1","54",NA
"V295","1","I","0.01","0.604","22.71","1","41",NA
"V296","1","F","0.2937","0.607","25.42","1","8",NA
"V297","2","F","0.2838","0.737","23.83","1","79",NA
"V298","4","F","0.2211","0.78","22.17","1","65",NA
"V299","2","F","0.2475","0.737","22.95","1","36",NA
"V300","3","F","0.3267","0.63","23.05","1","62",NA
"V301","4","F","0.4884","0.78","25.58","1","38",NA
"V302","1","F","0.2838","0.607","21.92","1","11",NA
"V303","4","F","0.3366","0.78","23.04",NA,NA,NA
"V304","1","F","0.3927","0.607","22.42","1","23",NA
"V305","2","I","0.01","0.725","28.41","1","1",NA
"V306","1","F","0.2871","0.607","22.46","1","13",NA
"V307","2","F","0.1848","0.737","24.43","1","21",NA
"V308","4","I","0.01","0.756","22.26","1","50",NA
"V309","4","I","0.01","0.756","25.19","1","8",NA
"V310","3","I","0.01","0.601","19.41","1","24","1"
"V311","4","F","0.1947","0.78","21.43","1","34",NA
"V312","1","F","0.2574","0.607","24.79","1","10",NA
"V313","2","F","0.2541","0.737","23.23","1","24",NA
