"","GroupID","Golgi_State","IntravasationProb","PER","Average_Speed","Visited_Rzone","Hours_in_Rzone","Metastatic_Celle"
"V21610","1","F","0.3432","0.607","18.48",NA,NA,NA
"V21611","1","F","0.4851","0.607","19.21",NA,NA,NA
"V21612","2","F","0.1947","0.737","24.25",NA,NA,NA
"V21613","1","F","0.198","0.607","23.47",NA,NA,NA
"V21614","2","I","0.01","0.725","18.81",NA,NA,NA
"V21615","1","F","0.4191","0.607","15.33","1","44",NA
"V21616","2","F","0.1947","0.737","25.32",NA,NA,NA
"V21617","1","F","0.3729","0.607","21.84",NA,NA,NA
"V21618","2","F","0.2541","0.737","25.26",NA,NA,NA
"V21619","1","F","0.2805","0.607","22.54",NA,NA,NA
"V21620","2","F","0.4191","0.737","20.81",NA,NA,NA
"V21621","4","F","0.4191","0.78","19.52",NA,NA,NA
"V21622","1","I","0.01","0.604","23.61",NA,NA,NA
"V21623","1","F","0.4917","0.607","22.53",NA,NA,NA
"V21624","4","F","0.3597","0.78","23.31","1","24",NA
"V21625","2","I","0.01","0.725","22.78","1","56",NA
"V21626","1","F","0.4125","0.607","21.65",NA,NA,NA
"V21627","4","F","0.4653","0.78","21.51",NA,NA,NA
"V21628","4","I","0.01","0.756","30.3",NA,NA,NA
"V21629","2","F","0.264","0.737","20.51",NA,NA,NA
"V21630","2","I","0.01","0.725","21.12",NA,NA,NA
"V21631","1","F","0.3861","0.607","19.11",NA,NA,NA
"V21632","2","F","0.3795","0.737","24.41",NA,NA,NA
"V21633","2","I","0.01","0.725","25.73",NA,NA,NA
"V21634","2","I","0.01","0.725","26.72",NA,NA,NA
"V21635","2","F","0.4257","0.737","23.59",NA,NA,NA
"V21636","2","I","0.01","0.725","24.42",NA,NA,NA
"V21637","3","I","0.01","0.601","28.15",NA,NA,NA
"V21638","4","I","0.01","0.756","27.02","1","1",NA
"V21639","1","F","0.231","0.607","23.55",NA,NA,NA
"V21640","4","F","0.3993","0.78","21.19",NA,NA,NA
"V21641","1","F","0.4257","0.607","22.83","1","27",NA
"V21642","2","I","0.01","0.725","24.92",NA,NA,NA
"V21643","2","F","0.4851","0.737","24.83",NA,NA,NA
"V21644","2","F","0.2871","0.737","23.29",NA,NA,NA
"V21645","2","F","0.4422","0.737","23.18","1","1",NA
"V21646","2","I","0.01","0.725","23.04",NA,NA,NA
"V21647","2","F","0.1716","0.737","25","1","44",NA
"V21648","2","F","0.3069","0.737","25.28","1","1",NA
"V21649","1","I","0.01","0.604","24.16","1","2",NA
"V21650","2","I","0.01","0.725","26.63",NA,NA,NA
"V21651","2","F","0.264","0.737","23.67","1","36",NA
"V21652","4","F","0.3267","0.78","23.02",NA,NA,NA
"V21653","1","F","0.2475","0.607","21.94",NA,NA,NA
"V21654","1","I","0.01","0.604","20.35",NA,NA,NA
"V21655","1","F","0.3201","0.607","21.78","1","5",NA
"V21656","4","I","0.01","0.756","30.14","1","9",NA
"V21657","2","F","0.4752","0.737","23.27","1","11",NA
"V21658","1","F","0.4917","0.607","21.01",NA,NA,NA
"V21659","1","F","0.2244","0.607","22.84",NA,NA,NA
"V21660","4","I","0.01","0.756","26.37",NA,NA,NA
"V21661","1","I","0.01","0.604","20.87",NA,NA,NA
"V21662","2","I","0.01","0.725","25.16",NA,NA,NA
"V21663","1","F","0.2508","0.607","21.04",NA,NA,NA
"V21664","2","F","0.264","0.737","21.95","1","23",NA
"V21665","4","F","0.2871","0.78","24.94",NA,NA,NA
"V21666","4","F","0.4884","0.78","22","1","11",NA
"V21667","2","F","0.1683","0.737","23.16","1","65",NA
"V21668","2","F","0.3168","0.737","25.95","1","1",NA
"V21669","4","F","0.2739","0.78","21",NA,NA,NA
"V21670","2","F","0.3069","0.737","23.7","1","27",NA
"V21671","3","I","0.01","0.601","29",NA,NA,NA
"V21672","4","F","0.4818","0.78","23.69","1","17",NA
"V21673","1","I","0.01","0.604","25.51","1","8",NA
"V21674","3","I","0.01","0.601","17.15","1","31",NA
"V21675","2","F","0.3102","0.737","18.69","1","19",NA
"V21676","2","I","0.01","0.725","21.91","1","45",NA
"V21677","2","I","0.01","0.725","23.75","1","50",NA
"V21678","1","F","0.2211","0.607","22.8","1","6",NA
"V21679","1","F","0.2046","0.607","24.62","1","18",NA
"V21680","1","F","0.1716","0.607","20.04","1","35",NA
"V21681","2","F","0.4587","0.737","26.19",NA,NA,NA
"V21682","4","I","0.01","0.756","30.01","1","1",NA
"V21683","4","F","0.3729","0.78","23.37","1","19",NA
"V21684","4","I","0.01","0.756","26.13","1","3",NA
"V21685","1","F","0.3399","0.607","22.26","1","52",NA
"V21686","2","F","0.3234","0.737","22.49","1","8",NA
"V21687","2","F","0.4257","0.737","25","1","12",NA
"V21688","2","I","0.01","0.725","22.98","1","13",NA
"V21689","1","F","0.3498","0.607","22.9",NA,NA,NA
"V21690","4","I","0.01","0.756","23.78",NA,NA,NA
"V21691","2","F","0.4851","0.737","24.42",NA,NA,NA
"V21692","2","F","0.2277","0.737","23.85","1","39",NA
"V21693","1","F","0.2112","0.607","21.54","1","41",NA
"V21694","4","I","0.01","0.756","25.41","1","3",NA
"V21695","1","F","0.2673","0.607","21.2","1","20",NA
"V21696","1","I","0.01","0.604","26.12","1","17",NA
"V21697","3","I","0.01","0.601","25.79","1","47",NA
"V21698","4","I","0.01","0.756","29.71","1","4",NA
"V21699","1","F","0.3465","0.607","18.67","1","45",NA
"V21700","1","F","0.2937","0.607","21.95","1","5",NA
"V21701","2","F","0.3366","0.737","22.04","1","47",NA
"V21702","1","I","0.01","0.604","23.95","1","7",NA
"V21703","4","I","0.01","0.756","30.45","1","5",NA
"V21704","1","F","0.2838","0.607","23.36","1","7",NA
"V21705","4","I","0.01","0.756","26.26","1","6",NA
"V21706","1","F","0.1914","0.607","17.57","1","60",NA
"V21707","3","F","0.3366","0.63","25.09","1","7",NA
"V21708","2","F","0.3333","0.737","26.68","1","29",NA
"V21709","2","I","0.01","0.725","25.28","1","12",NA
"V21710","1","I","0.01","0.604","22.24","1","1",NA
"V21711","1","I","0.01","0.604","26.52",NA,NA,NA
"V21712","2","F","0.4125","0.737","23.32",NA,NA,NA
"V21713","4","F","0.2277","0.78","23.38",NA,NA,NA
"V21714","4","F","0.2376","0.78","21",NA,NA,NA
"V21715","2","F","0.33","0.737","24.4",NA,NA,NA
"V21716","1","F","0.4554","0.607","20.42",NA,NA,NA
"V21717","2","F","0.4389","0.737","23.86",NA,NA,NA
"V21718","2","F","0.4125","0.737","16.54",NA,NA,NA
"V21719","2","F","0.1914","0.737","18.67","1","1",NA
"V21720","1","F","0.4554","0.607","20.15","1","4",NA
"V21721","1","F","0.2607","0.607","16.58",NA,NA,NA
"V21722","2","F","0.4389","0.737","22.44",NA,NA,NA
"V21723","2","F","0.4488","0.737","20.46","1","7",NA
"V21724","1","F","0.4521","0.607","19.07","1","24",NA
"V21725","1","F","0.1881","0.607","18.85","1","1",NA
"V21726","4","I","0.01","0.756","21.08","1","1",NA
"V21727","1","I","0.01","0.604","19.75",NA,NA,NA
"V21728","2","I","0.01","0.725","23.31",NA,NA,NA
"V21729","1","I","0.01","0.604","23.55",NA,NA,NA
"V21730","2","F","0.3069","0.737","20.54",NA,NA,NA
"V21731","2","F","0.3696","0.737","22.91",NA,NA,NA
"V21732","2","F","0.4818","0.737","19.46","1","30",NA
"V21733","4","I","0.01","0.756","23.95","1","18",NA
"V21734","1","I","0.01","0.604","21.03",NA,NA,NA
"V21735","3","F","0.3795","0.63","22.79",NA,NA,NA
"V21736","1","F","0.3234","0.607","21",NA,NA,NA
"V21737","4","F","0.4884","0.78","25.63",NA,NA,NA
"V21738","2","F","0.1716","0.737","25.42",NA,NA,NA
"V21739","4","I","0.01","0.756","23.94","1","8",NA
"V21740","2","I","0.01","0.725","20.58","1","75",NA
"V21741","1","F","0.3234","0.607","23.01",NA,NA,NA
"V21742","1","I","0.01","0.604","19.62",NA,NA,NA
"V21743","1","F","0.4686","0.607","20.75","1","26",NA
"V21744","1","F","0.2871","0.607","22.3","1","1",NA
"V21745","1","I","0.01","0.604","20.46",NA,NA,NA
"V21746","1","F","0.2871","0.607","16.42",NA,NA,NA
"V21747","1","F","0.4884","0.607","17.3",NA,NA,NA
"V21748","2","I","0.01","0.725","22.27",NA,NA,NA
"V21749","1","F","0.3267","0.607","22.22",NA,NA,NA
"V21750","1","I","0.01","0.604","21.96",NA,NA,NA
"V21751","4","I","0.01","0.756","29.92",NA,NA,NA
"V21752","2","F","0.3696","0.737","22.41","1","1",NA
"V21753","1","F","0.3135","0.607","24.89",NA,NA,NA
"V21754","1","F","0.3696","0.607","19.8",NA,NA,NA
"V21755","1","F","0.4521","0.607","18.12",NA,NA,NA
"V21756","2","F","0.4818","0.737","25.15",NA,NA,NA
"V21757","1","F","0.2079","0.607","21.87",NA,NA,NA
"V21758","1","F","0.1914","0.607","21.6",NA,NA,NA
"V21759","4","I","0.01","0.756","25.14",NA,NA,NA
"V21760","1","F","0.2013","0.607","19.92","1","36",NA
"V21761","1","F","0.4587","0.607","21.57","1","16",NA
"V21762","3","F","0.4158","0.63","25.43",NA,NA,NA
"V21763","2","F","0.3267","0.737","23.88",NA,NA,NA
"V21764","4","I","0.01","0.756","28.88",NA,NA,NA
"V21765","1","F","0.4851","0.607","21.34","1","1",NA
"V21766","1","F","0.2013","0.607","23.16",NA,NA,NA
"V21767","1","I","0.01","0.604","24.29",NA,NA,NA
"V21768","2","F","0.2772","0.737","23.36",NA,NA,NA
"V21769","4","I","0.01","0.756","24.86",NA,NA,NA
"V21770","1","F","0.3267","0.607","23.19",NA,NA,NA
"V21771","2","I","0.01","0.725","25.79","1","32",NA
"V21772","2","F","0.363","0.737","23.7",NA,NA,NA
"V21773","4","I","0.01","0.756","21",NA,NA,NA
"V21774","1","F","0.3234","0.607","22.04",NA,NA,NA
"V21775","2","F","0.3828","0.737","25.9","1","17",NA
"V21776","4","F","0.4818","0.78","23.68","1","1",NA
"V21777","3","F","0.4554","0.63","21",NA,NA,NA
"V21778","2","F","0.1749","0.737","25.97",NA,NA,NA
"V21779","3","I","0.01","0.601","25.02",NA,NA,NA
"V21780","4","F","0.2805","0.78","24","1","30",NA
"V21781","1","F","0.2838","0.607","24.01","1","2",NA
"V21782","3","F","0.3564","0.63","22.66",NA,NA,NA
"V21783","1","F","0.2178","0.607","21.87",NA,NA,NA
"V21784","1","F","0.3597","0.607","22.51",NA,NA,NA
"V21785","4","I","0.01","0.756","25.4",NA,NA,NA
"V21786","1","F","0.3135","0.607","21.58","1","52",NA
"V21787","1","F","0.4323","0.607","22.87","1","1",NA
"V21788","2","F","0.4026","0.737","23.99","1","1",NA
"V21789","3","I","0.01","0.601","22.07","1","2",NA
"V21790","2","F","0.2178","0.737","20.38",NA,NA,NA
"V21791","4","F","0.4125","0.78","23.28",NA,NA,NA
"V21792","1","F","0.3993","0.607","22.36","1","31",NA
"V21793","2","F","0.2673","0.737","21.69","1","33",NA
"V21794","2","I","0.01","0.725","24.6",NA,NA,NA
"V21795","3","I","0.01","0.601","25.69",NA,NA,NA
"V21796","2","F","0.3993","0.737","23.76","1","28",NA
"V21797","2","I","0.01","0.725","25.58","1","15",NA
"V21798","1","I","0.01","0.604","26.42","1","2",NA
"V21799","4","F","0.2508","0.78","24.6","1","6",NA
"V21800","1","F","0.4422","0.607","22.38","1","7",NA
"V21801","4","I","0.01","0.756","22.07","1","19",NA
"V21802","1","F","0.3828","0.607","17.76","1","68",NA
"V21803","4","F","0.2541","0.78","22.95","1","11",NA
"V21804","2","F","0.4125","0.737","22.26","1","39",NA
"V21805","4","F","0.3564","0.78","16.72","1","7",NA
"V21806","1","F","0.3927","0.607","20.23","1","21",NA
"V21807","2","F","0.2508","0.737","22.2","1","34",NA
"V21808","1","I","0.01","0.604","14.09","1","14",NA
"V21809","1","F","0.396","0.607","22.96","1","4",NA
"V21810","3","I","0.01","0.601","24.37","1","31",NA
"V21811","2","F","0.4158","0.737","24.39","1","14",NA
"V21812","1","I","0.01","0.604","25.58","1","7",NA
"V21813","4","I","0.01","0.756","26.25","1","9",NA
"V21814","1","I","0.01","0.604","22.5","1","8",NA
"V21815","4","F","0.2442","0.78","20.29","1","27",NA
"V21816","2","I","0.01","0.725","24.86","1","26",NA
"V21817","2","I","0.01","0.725","27.76","1","15",NA
"V21818","1","I","0.01","0.604","23.1","1","48",NA
"V21819","1","F","0.4356","0.607","22.45","1","23",NA
"V21820","4","F","0.4752","0.78","22.32",NA,NA,NA
"V21821","1","F","0.363","0.607","19.26",NA,NA,NA
"V21822","1","F","0.4653","0.607","22.09","1","6",NA
"V21823","2","F","0.4752","0.737","22.73",NA,NA,NA
"V21824","1","F","0.4554","0.607","21.97",NA,NA,NA
"V21825","1","F","0.2112","0.607","20.06",NA,NA,NA
"V21826","4","I","0.01","0.756","22.56","1","1",NA
"V21827","4","F","0.462","0.78","20.18","1","34",NA
"V21828","4","I","0.01","0.756","18.62","1","1",NA
"V21829","4","I","0.01","0.756","25.36","1","4",NA
"V21830","2","F","0.2046","0.737","20","1","10",NA
"V21831","4","F","0.3762","0.78","19.32","1","12",NA
"V21832","3","I","0.01","0.601","22.99",NA,NA,NA
"V21833","1","F","0.3333","0.607","20.58",NA,NA,NA
"V21834","4","I","0.01","0.756","22.25",NA,NA,NA
"V21835","2","F","0.3861","0.737","22.12",NA,NA,NA
"V21836","2","I","0.01","0.725","27.72",NA,NA,NA
"V21837","1","I","0.01","0.604","21.64",NA,NA,NA
"V21838","4","F","0.3597","0.78","23.47",NA,NA,NA
"V21839","1","F","0.3135","0.607","23.56","1","6",NA
"V21840","1","F","0.297","0.607","19.36",NA,NA,NA
"V21841","2","F","0.297","0.737","18.4","1","1",NA
"V21842","2","F","0.3465","0.737","25.97",NA,NA,NA
"V21843","2","I","0.01","0.725","28.48","1","42",NA
"V21844","1","I","0.01","0.604","20.75",NA,NA,NA
"V21845","2","I","0.01","0.725","26.4",NA,NA,NA
"V21846","1","F","0.2508","0.607","19.82",NA,NA,NA
"V21847","4","I","0.01","0.756","25.26","1","2",NA
"V21848","4","I","0.01","0.756","24.66",NA,NA,NA
"V21849","3","I","0.01","0.601","26.97",NA,NA,NA
"V21850","2","F","0.4884","0.737","25.49",NA,NA,NA
"V21851","2","F","0.3069","0.737","20.45","1","8",NA
"V21852","2","F","0.1815","0.737","23.36",NA,NA,NA
"V21853","1","F","0.3003","0.607","20.79",NA,NA,NA
"V21854","2","F","0.3234","0.737","21.72","1","13",NA
"V21855","1","F","0.4884","0.607","23.31","1","6",NA
"V21856","2","F","0.2772","0.737","26.41",NA,NA,NA
"V21857","2","F","0.3003","0.737","25.99",NA,NA,NA
"V21858","2","F","0.2244","0.737","23.63","1","1",NA
"V21859","2","F","0.3465","0.737","19.99",NA,NA,NA
"V21860","4","F","0.4125","0.78","23.72",NA,NA,NA
"V21861","2","F","0.3531","0.737","21.59",NA,NA,NA
"V21862","1","F","0.2838","0.607","22.81","1","10",NA
"V21863","1","F","0.4488","0.607","23.39",NA,NA,NA
"V21864","4","F","0.1749","0.78","22.11","1","9",NA
"V21865","2","F","0.3003","0.737","23.15",NA,NA,NA
"V21866","2","F","0.2772","0.737","24.96",NA,NA,NA
"V21867","1","I","0.01","0.604","24.68","1","28",NA
"V21868","2","F","0.2475","0.737","24.4",NA,NA,NA
"V21869","4","F","0.3894","0.78","24.01","1","21",NA
"V21870","2","F","0.4059","0.737","24.38",NA,NA,NA
"V21871","2","F","0.4884","0.737","25.99",NA,NA,NA
"V21872","2","F","0.2904","0.737","25.88",NA,NA,NA
"V21873","2","F","0.2805","0.737","23.6",NA,NA,NA
"V21874","1","F","0.2541","0.607","18.57",NA,NA,NA
"V21875","2","I","0.01","0.725","26.74","1","1",NA
"V21876","1","F","0.4587","0.607","22.95",NA,NA,NA
"V21877","2","F","0.231","0.737","24.67","1","7",NA
"V21878","1","I","0.01","0.604","26.25",NA,NA,NA
"V21879","2","F","0.231","0.737","27.62",NA,NA,NA
"V21880","2","F","0.2673","0.737","25.12",NA,NA,NA
"V21881","1","F","0.3828","0.607","18.77",NA,NA,NA
"V21882","1","F","0.3861","0.607","24.31","1","26",NA
"V21883","4","I","0.01","0.756","23.27",NA,NA,NA
"V21884","1","I","0.01","0.604","26.66",NA,NA,NA
"V21885","1","F","0.3366","0.607","22.18",NA,NA,NA
"V21886","1","F","0.3993","0.607","21.93","1","1",NA
"V21887","2","F","0.3399","0.737","25.8",NA,NA,NA
"V21888","3","I","0.01","0.601","25.45","1","16",NA
"V21889","2","F","0.4587","0.737","22.14",NA,NA,NA
"V21890","2","F","0.4257","0.737","23.51",NA,NA,NA
"V21891","2","F","0.2211","0.737","23.73","1","21",NA
"V21892","2","F","0.1914","0.737","22.57","1","17",NA
"V21893","3","I","0.01","0.601","25.47","1","32",NA
"V21894","1","F","0.3234","0.607","26.26","1","35",NA
"V21895","1","F","0.3894","0.607","20.84","1","97",NA
"V21896","2","F","0.2508","0.737","23.69","1","20",NA
"V21897","2","F","0.4422","0.737","24.75","1","9",NA
"V21898","4","I","0.01","0.756","25.08",NA,NA,NA
"V21899","1","F","0.3696","0.607","19.65",NA,NA,NA
"V21900","4","F","0.3333","0.78","19.58","1","21",NA
"V21901","4","I","0.01","0.756","21.04","1","33",NA
"V21902","2","I","0.01","0.725","21.62","1","29",NA
"V21903","4","F","0.4224","0.78","18.75","1","16",NA
"V21904","4","I","0.01","0.756","23.29","1","1",NA
"V21905","4","I","0.01","0.756","24.58","1","4",NA
"V21906","4","F","0.3003","0.78","23.58","1","14",NA
"V21907","1","I","0.01","0.604","22.91","1","17",NA
"V21908","1","F","0.4818","0.607","20.03","1","16",NA
"V21909","4","I","0.01","0.756","23.84","1","78",NA
"V21910","1","F","0.3135","0.607","22.09","1","11",NA
"V21911","2","F","0.3861","0.737","25.69","1","13",NA
"V21912","1","F","0.264","0.607","20.07","1","43",NA
"V21913","1","I","0.01","0.604","25.35","1","24",NA
"V21914","2","F","0.2871","0.737","26.1","1","4",NA
"V21915","1","F","0.3564","0.607","21.69","1","28","1"
"V21916","4","F","0.2673","0.78","26.71","1","6",NA
"V21917","1","F","0.2508","0.607","22.45","1","8",NA
"V21918","2","F","0.4818","0.737","18.22","1","2",NA
"V21919","2","F","0.2607","0.737","18.17",NA,NA,NA
"V21920","4","I","0.01","0.756","25.29","1","11",NA
"V21921","1","F","0.4719","0.607","21.08","1","23",NA
"V21922","2","F","0.3069","0.737","21.01",NA,NA,NA
"V21923","2","F","0.4884","0.737","15.93",NA,NA,NA
"V21924","2","I","0.01","0.725","27.2","1","8",NA
"V21925","2","I","0.01","0.725","31.48","1","5",NA
"V21926","1","F","0.3861","0.607","24.83","1","1",NA
"V21927","3","I","0.01","0.601","27.16",NA,NA,NA
"V21928","2","F","0.3399","0.737","24.65","1","11",NA
"V21929","2","I","0.01","0.725","22.83","1","1",NA
"V21930","3","I","0.01","0.601","23.66",NA,NA,NA
"V21931","2","F","0.3927","0.737","24.03",NA,NA,NA
"V21932","1","F","0.4257","0.607","21.39",NA,NA,NA
"V21933","1","I","0.01","0.604","23.36","1","27",NA
"V21934","2","I","0.01","0.725","22.79",NA,NA,NA
"V21935","2","F","0.4884","0.737","20.3",NA,NA,NA
"V21936","4","F","0.4719","0.78","28.12","1","14",NA
"V21937","1","F","0.4521","0.607","17.38",NA,NA,NA
"V21938","4","I","0.01","0.756","24.7","1","38",NA
"V21939","1","I","0.01","0.604","25.27","1","1",NA
"V21940","3","I","0.01","0.601","24.67","1","14",NA
"V21941","4","F","0.2442","0.78","25.73","1","1",NA
"V21942","1","I","0.01","0.604","19.16",NA,NA,NA
"V21943","2","F","0.1749","0.737","18.97",NA,NA,NA
"V21944","1","F","0.1815","0.607","23.4","1","1",NA
"V21945","2","F","0.4818","0.737","25.5","1","22",NA
"V21946","1","F","0.3729","0.607","23.14",NA,NA,NA
"V21947","1","F","0.1749","0.607","22.95",NA,NA,NA
"V21948","1","F","0.4917","0.607","21.07","1","10",NA
"V21949","2","F","0.1914","0.737","21.97","1","26",NA
"V21950","2","F","0.4554","0.737","24.52","1","12",NA
"V21951","1","F","0.2838","0.607","20.88",NA,NA,NA
"V21952","1","F","0.429","0.607","18.6","1","29",NA
"V21953","2","I","0.01","0.725","27.71","1","9",NA
"V21954","2","I","0.01","0.725","25.42",NA,NA,NA
"V21955","2","I","0.01","0.725","29.71","1","9",NA
"V21956","1","F","0.3234","0.607","21.52",NA,NA,NA
"V21957","2","I","0.01","0.725","22.86","1","1",NA
"V21958","4","I","0.01","0.756","22.91","1","32",NA
"V21959","2","F","0.2871","0.737","21.08",NA,NA,NA
"V21960","2","I","0.01","0.725","19.87",NA,NA,NA
"V21961","2","F","0.2013","0.737","22.13",NA,NA,NA
"V21962","3","I","0.01","0.601","24.92",NA,NA,NA
"V21963","1","F","0.2376","0.607","23.64","1","4",NA
"V21964","1","F","0.429","0.607","21.55",NA,NA,NA
"V21965","1","F","0.1881","0.607","22.14",NA,NA,NA
"V21966","1","F","0.4389","0.607","19.14",NA,NA,NA
"V21967","2","F","0.396","0.737","24.28",NA,NA,NA
"V21968","1","F","0.429","0.607","23.02",NA,NA,NA
"V21969","2","F","0.462","0.737","24.88",NA,NA,NA
"V21970","2","F","0.1914","0.737","24.16",NA,NA,NA
"V21971","4","I","0.01","0.756","22.91","1","25",NA
"V21972","4","I","0.01","0.756","23.45","1","29",NA
"V21973","2","F","0.363","0.737","21.15","1","64",NA
"V21974","3","I","0.01","0.601","24","1","58",NA
"V21975","1","I","0.01","0.604","25.97","1","6",NA
"V21976","4","F","0.3531","0.78","24.82","1","12",NA
"V21977","3","I","0.01","0.601","26.24","1","49",NA
"V21978","2","F","0.3696","0.737","22.83","1","13",NA
"V21979","1","F","0.1815","0.607","24.44","1","4",NA
"V21980","4","I","0.01","0.756","24.94","1","3",NA
"V21981","2","I","0.01","0.725","21.71","1","60",NA
"V21982","2","F","0.3663","0.737","19.85","1","2",NA
"V21983","1","F","0.2211","0.607","20.23",NA,NA,NA
"V21984","3","I","0.01","0.601","24.5","1","3",NA
"V21985","1","F","0.2244","0.607","21.16","1","18",NA
"V21986","2","I","0.01","0.725","19.32","1","28",NA
"V21987","1","I","0.01","0.604","22.06","1","40",NA
"V21988","4","F","0.4224","0.78","28.86",NA,NA,NA
"V21989","2","F","0.3663","0.737","20.61",NA,NA,NA
"V21990","2","F","0.2607","0.737","9.82","1","1","1"
"V21991","2","F","0.2673","0.737","23.43","1","7",NA
"V21992","1","F","0.2607","0.607","18.91","1","12",NA
"V21993","2","F","0.4785","0.737","13.31","1","53",NA
"V21994","2","I","0.01","0.725","21.68","1","45",NA
"V21995","2","F","0.1848","0.737","22.9","1","31",NA
"V21996","1","F","0.4884","0.607","21.22","1","34",NA
"V21997","1","F","0.2409","0.607","21.51","1","13",NA
"V21998","1","F","0.2805","0.607","20.92",NA,NA,NA
"V21999","1","F","0.3399","0.607","22.49","1","15",NA
"V22000","1","I","0.01","0.604","26","1","1",NA
"V22001","1","F","0.4686","0.607","20.33",NA,NA,NA
"V22002","2","F","0.2112","0.737","25.28",NA,NA,NA
"V22003","2","F","0.4455","0.737","21.63",NA,NA,NA
"V22004","1","F","0.3861","0.607","21.21","1","13",NA
"V22005","4","I","0.01","0.756","23.96","1","71",NA
"V22006","1","I","0.01","0.604","18.8","1","36",NA
"V22007","1","F","0.2706","0.607","20.47",NA,NA,NA
"V22008","3","I","0.01","0.601","24.85",NA,NA,NA
"V22009","2","F","0.2475","0.737","23.5","1","17",NA
"V22010","2","F","0.3993","0.737","26.85",NA,NA,NA
"V22011","1","F","0.2871","0.607","20.37","1","40",NA
"V22012","1","I","0.01","0.604","23.3",NA,NA,NA
"V22013","2","F","0.2805","0.737","21.5",NA,NA,NA
"V22014","4","I","0.01","0.756","25.22",NA,NA,NA
"V22015","1","F","0.2211","0.607","22.83",NA,NA,NA
"V22016","2","F","0.4521","0.737","19.84",NA,NA,NA
"V22017","4","I","0.01","0.756","20.05","1","4",NA
"V22018","1","I","0.01","0.604","24.53","1","18",NA
"V22019","1","I","0.01","0.604","20.82",NA,NA,NA
"V22020","1","F","0.2706","0.607","18.03","1","1",NA
"V22021","2","I","0.01","0.725","22.59","1","10",NA
"V22022","2","F","0.2046","0.737","21.17",NA,NA,NA
"V22023","4","F","0.4026","0.78","21.29","1","59",NA
"V22024","1","F","0.3696","0.607","20.55",NA,NA,NA
"V22025","1","I","0.01","0.604","25.09",NA,NA,NA
"V22026","4","I","0.01","0.756","25.59",NA,NA,NA
"V22027","1","F","0.3036","0.607","21.99",NA,NA,NA
"V22028","1","F","0.1848","0.607","19.43",NA,NA,NA
"V22029","1","F","0.3597","0.607","18.25","1","30",NA
"V22030","2","F","0.3729","0.737","18.91",NA,NA,NA
"V22031","1","F","0.4488","0.607","19.41","1","1",NA
"V22032","2","F","0.3531","0.737","26.26",NA,NA,NA
"V22033","1","F","0.165","0.607","22.33",NA,NA,NA
"V22034","2","F","0.2607","0.737","25.15",NA,NA,NA
"V22035","4","F","0.3399","0.78","23.43",NA,NA,NA
"V22036","1","F","0.4851","0.607","18.2",NA,NA,NA
"V22037","4","I","0.01","0.756","16.4",NA,NA,NA
"V22038","1","F","0.3696","0.607","21",NA,NA,NA
"V22039","4","I","0.01","0.756","24.63",NA,NA,NA
"V22040","2","F","0.2277","0.737","25.7","1","11",NA
"V22041","4","I","0.01","0.756","21.17",NA,NA,NA
"V22042","1","F","0.462","0.607","21.43",NA,NA,NA
"V22043","1","F","0.2541","0.607","22.42",NA,NA,NA
"V22044","1","I","0.01","0.604","25.82","1","21",NA
"V22045","1","F","0.4851","0.607","22.61","1","15",NA
"V22046","1","I","0.01","0.604","27.74",NA,NA,NA
"V22047","4","F","0.2343","0.78","23.94","1","16",NA
"V22048","4","I","0.01","0.756","26.14",NA,NA,NA
"V22049","2","F","0.4851","0.737","24.98","1","31","1"
"V22050","3","I","0.01","0.601","27.1",NA,NA,NA
"V22051","1","F","0.4389","0.607","23.89",NA,NA,NA
"V22052","3","I","0.01","0.601","24.8",NA,NA,NA
"V22053","2","F","0.1914","0.737","25.77","1","20",NA
"V22054","2","F","0.1716","0.737","22.3","1","1",NA
"V22055","2","F","0.4554","0.737","24.36",NA,NA,NA
"V22056","1","I","0.01","0.604","27.77","1","15",NA
"V22057","2","F","0.4851","0.737","22.02",NA,NA,NA
"V22058","1","F","0.3201","0.607","22.83","1","1",NA
"V22059","2","F","0.3333","0.737","24.34","1","3",NA
"V22060","2","F","0.1881","0.737","20.3",NA,NA,NA
"V22061","1","I","0.01","0.604","22.19",NA,NA,NA
"V22062","2","F","0.3465","0.737","23.15","1","1",NA
"V22063","1","F","0.4356","0.607","22.36",NA,NA,NA
"V22064","4","I","0.01","0.756","24.93","1","58",NA
"V22065","2","F","0.3564","0.737","20.8","1","4",NA
"V22066","1","F","0.4686","0.607","22.31",NA,NA,NA
"V22067","4","I","0.01","0.756","24.24","1","6",NA
"V22068","2","F","0.198","0.737","25",NA,NA,NA
"V22069","2","F","0.1815","0.737","25.54",NA,NA,NA
"V22070","1","I","0.01","0.604","26","1","2",NA
"V22071","1","F","0.4125","0.607","18.36","1","48",NA
"V22072","3","I","0.01","0.601","26.03","1","38",NA
"V22073","1","F","0.4092","0.607","21.2","1","5",NA
"V22074","1","I","0.01","0.604","24.98","1","37",NA
"V22075","2","F","0.264","0.737","23.21","1","6",NA
"V22076","2","F","0.4851","0.737","19.73","1","42",NA
"V22077","4","F","0.2376","0.78","24.9","1","2",NA
"V22078","1","F","0.264","0.607","21.79","1","31",NA
"V22079","3","I","0.01","0.601","24.33","1","22",NA
"V22080","1","I","0.01","0.604","27.24","1","3",NA
"V22081","1","I","0.01","0.604","22.63","1","11",NA
